----------------------- Page 1-----------------------

                                               English index for NEVO online 2013 

English food name → Dutch food name                                                         Code     Name food group 
Breakfast drink Activia Start → Drinkontbijt Acvia Start                                     2936     Milk en milkproducts 
Breakfast drink Breaker Breakfast → Drinkontbijt Breaker Breakfast                           2940     Milk en milkproducts 

                                                                     6 

----------------------- Page 7-----------------------

                                                English index for NEVO online 2013 

Breakfast drink Goede Morgen fruit → Drinkontbijt Goede Morgen fruit                           2941    Milk en milkproducts 
Breakfast drink Goede Morgen original → Drinkontbijt Goede Morgen original                     2257    Milk en milkproducts 

Breakfast drink HeroFruitontbijt p 100ml → Drinkontbijt Hero FruitOntbijt p 100 ml             2079    Alc. and non‐alc. drinks 

Breakfast prod All‐Bran flakes Kellogg's → Ontbijtproduct All‐Bran ﬂakes Kellogg's             2705    Cereal products 

Breakfast prod Coco Pops Kellogg's → Ontbijtproduct Choco Pops Kellogg's                       2002    Cereal products 
Breakfast prod Pyjamapapje 8 granen → Ontbijtproduct Pyjamapapje 8 granen                      3132    Cereal products 

Breakfast product 7 cereals energy → Ontbijtprod Molenaar 7‐granen‐energie ontbijt             1804    Cereal products 

Breakfast product Frosties Kellogg's → Ontbijtproduct Froses Kellogg's                         1999    Cereal products 
Breakfast product Spec K choc Kellogg's → Ontbijtproduct Special K chocolade                   2684    Cereal products 
Kellogg's 
Breakfast product Special K Original → Ontbijtproduct Special K Original Kellogg's             2005    Cereal products 

Breakfastprod Pyjamapapje fijne tarwe gr → Ontbijtproduct Pyjamapapje ﬁjne tarwe               3131    Cereal products 
granen 
Breast milk enhancer powder → Friso BMF poeder                                                 1928    Foods for specific dietetic use 
Breast milk fortifier Nenatal BMF liquid → Nenatal BMF p 100 ml Nutricia                       2167    Foods for specific dietetic use 
Breast milk fortifier Nenatal BMF powder → Nenatal BMF poeder Nutricia                         2166    Foods for specific dietetic use 
Breezer → Breezer                                                                              2311    Alc. and non‐alc. drinks 
Broccoli boiled → Broccoli gekookt                                                            920      Vegetables 
Broccoli raw → Broccoli rauw                                                                  921      Vegetables 
Brown beans, meat and rice → Bruine bonen met rijst Surinaams                                  2317    Composite dishes 
Brownies with nuts → Brownies met noten                                                        2190    Pastry, cake and biscuits 
